team_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
725,Army,,Audrey Annee,Sophomore,"Indianapolis, Ind.",Center Grove,,"5'9""",Guard,2,https://goarmywestpoint.com/sports/womens-basketball/roster/audrey-annee/23328,2025-26
725,Army,,Brooke Wilson,Sophomore,"Bryn Mawr, Pa.",Archbishop John Carroll,,"5'9""",Guard,3,https://goarmywestpoint.com/sports/womens-basketball/roster/brooke-wilson/23340,2025-26
725,Army,,Stella Chartrand,Sophomore,"Atlanta, Ga.",,,"5'9""",Guard,4,https://goarmywestpoint.com/sports/womens-basketball/roster/stella-chartrand/23330,2025-26
725,Army,,Carlee Casteel,Junior,"Rogers, Ark.",Rogers Heritage,,"5'7""",Guard,11,https://goarmywestpoint.com/sports/womens-basketball/roster/carlee-casteel/23329,2025-26
725,Army,,Hannah Laub,Sophomore,"Naperville, Ill.",Waubonsie Valley,,,Guard,12,https://goarmywestpoint.com/sports/womens-basketball/roster/hannah-laub/23334,2025-26
725,Army,,Camryn Tade,Junior,"Southlake, Texas",Carroll,,"5'9""",Guard,20,https://goarmywestpoint.com/sports/womens-basketball/roster/camryn-tade/23338,2025-26
725,Army,,Reese Ericson,Senior,"Lake Oswego, Ore.",Lakeridge,,"5'6""",Guard,21,https://goarmywestpoint.com/sports/womens-basketball/roster/reese-ericson/23332,2025-26
725,Army,,Taylor Wilson,Junior,"Bryn Mawr, Pa.",Archbishop John Carroll,,"5'10""",Guard/Forward,22,https://goarmywestpoint.com/sports/womens-basketball/roster/taylor-wilson/23341,2025-26
725,Army,,Sam Tillson,Sophomore,"McKinney, Texas",McKinney,,"6'1""",Foward,23,https://goarmywestpoint.com/sports/womens-basketball/roster/sam-tillson/23339,2025-26
725,Army,,Kya Smith,Junior,"Lubbock, Texas",Coronado,,"6'1""",Forward,30,https://goarmywestpoint.com/sports/womens-basketball/roster/kya-smith/23337,2025-26
725,Army,,Fiona Hastick,Junior,"Reston, Va.",Paul VI Catholic (USMAPS),,"5'11""",Guard/Forward,33,https://goarmywestpoint.com/sports/womens-basketball/roster/fiona-hastick/23333,2025-26
725,Army,,Soleil Montrose,Junior,"Irvine, Calif.",Mater Dei,UTEP,"5'10""",Guard/Forward,35,https://goarmywestpoint.com/sports/womens-basketball/roster/soleil-montrose/23336,2025-26
725,Army,,Sophia McCartney,Sophomore,"Naples, Fla.",St. John Neumann Catholic,,"6'2""",Foward,44,https://goarmywestpoint.com/sports/womens-basketball/roster/sophia-mccartney/23335,2025-26
725,Army,,Kelly Cramer,Freshman,"Ponte Vedra, Fla. ",St. Joseph Academy,,,,,https://goarmywestpoint.com/sports/womens-basketball/roster/kelly-cramer/23762,2025-26
725,Army,,Jane Preston,Freshman,"Berwyn, Pa.",Conestoga,,,,,https://goarmywestpoint.com/sports/womens-basketball/roster/jane-preston/23763,2025-26
725,Army,,Reganne Reardon,Freshman,"Chicago, Ill.",St. Ignatius College Preparatory,,,,,https://goarmywestpoint.com/sports/womens-basketball/roster/reganne-reardon/23764,2025-26
725,Army,,Landry Sherrer,Freshman,"Coppell, Texas",Coppell,,,,,https://goarmywestpoint.com/sports/womens-basketball/roster/landry-sherrer/23765,2025-26
796,Wisconsin,14240,Nikki Kerstein,Freshman,"Riverwoods, Ill.",Montini Catholic,,"5'8""",,0,https://www.uwbadgers.com/sports/womens-basketball/roster/nikki-kerstein/14240,2025-26
796,Wisconsin,14241,Destiny  Howell,Graduate Student,"Queens, N.Y.",St. Francis Prep,,"6'0""",G,1,https://www.uwbadgers.com/sports/womens-basketball/roster/destiny-howell/14241,2025-26
796,Wisconsin,14231,Alie Bisballe,Sophomore,"Lake City, Mich.",Lake City,,"6'4""",F,2,https://www.uwbadgers.com/sports/womens-basketball/roster/alie-bisballe/14231,2025-26
796,Wisconsin,14249,Breauna  Ware,Redshirt Junior,"Queens, N.Y.",Mary Louis Academy,,"5'7""",G,3,https://www.uwbadgers.com/sports/womens-basketball/roster/breauna-ware/14249,2025-26
796,Wisconsin,14233,Lily Krahn,Senior,"Prairie du Chien, Wis.",Prairie du Chien,,"5'10""",G,4,https://www.uwbadgers.com/sports/womens-basketball/roster/lily-krahn/14233,2025-26
796,Wisconsin,14235,Leena Patibandla,Junior,"Canton, Ohio",Jackson,,"6'0""",G,5,https://www.uwbadgers.com/sports/womens-basketball/roster/leena-patibandla/14235,2025-26
796,Wisconsin,14255,Dorja Iva Zaja,Freshman,"Zagreb, Croatia",Privatna Gimnazija Marul Zagreb,,"6'3""",C,6,https://www.uwbadgers.com/sports/womens-basketball/roster/dorja-iva-zaja/14255,2025-26
796,Wisconsin,14234,Alba Martín Mesa,Sophomore,"Las Palmas de Gran Canaria, Spain",ÍES Pérez Galdós,,"5'6""",G,9,https://www.uwbadgers.com/sports/womens-basketball/roster/alba-mart-n-mesa/14234,2025-26
796,Wisconsin,14236,Jovana Spasovski,Sophomore,"Belgrade, Serbia",Gimnazija Patrijarh Pavle,,"6'0""",,11,https://www.uwbadgers.com/sports/womens-basketball/roster/jovana-spasovski/14236,2025-26
796,Wisconsin,14237,Ronnie  Porter,Senior,"St. Paul, Minn.",Como Park,,"5'1""",G,13,https://www.uwbadgers.com/sports/womens-basketball/roster/ronnie-porter/14237,2025-26
796,Wisconsin,14232,Reese Jaramillo,Sophomore,"Racine, Wis.",The Prairie School,,"5'8""",G,14,https://www.uwbadgers.com/sports/womens-basketball/roster/reese-jaramillo/14232,2025-26
796,Wisconsin,14239,Gift Uchenna Okeke,Senior,"Ebonyi State, Nigeria",Kochi Chuo,,"6'3""",F,15,https://www.uwbadgers.com/sports/womens-basketball/roster/gift-uchenna-okeke/14239,2025-26
796,Wisconsin,14242,Kyrah Daniels,Junior,"Highlands Ranch, Colo.",Thunder Ridge,,"6'0""",G,20,,2025-26
796,Wisconsin,14248,Shay  Bollin,Graduate Student,"Raynham, Mass.",Bridgewater-Raynham Regional,,"6'3""",G,22,https://www.uwbadgers.com/sports/womens-basketball/roster/shay-bollin/14248,2025-26
796,Wisconsin,14238,Laci Steele,Junior,"Edmond, Okla.",Edmond North,,"5'11""",G,24,https://www.uwbadgers.com/sports/womens-basketball/roster/laci-steele/14238,2025-26
52,Bellarmine,9499,Miyah Brown,Senior,"Rockford, IL",Winnebago,,"5'10""",G,0,https://athletics.bellarmine.edu/sports/womens-basketball/roster/miyah-brown/9499,2025-26
52,Bellarmine,9780,Seairra Hughes,Graduate Student,"Denver, CO",Vista Peak Prep,Central Arizona College/Southern Illinois University,"6'0""",F,1,https://athletics.bellarmine.edu/sports/womens-basketball/roster/seairra-hughes/9780,2025-26
52,Bellarmine,9504,Rachel Shropshire,Sophomore,"Frankfort, KY",Franklin County,,"6'3""",F,2,https://athletics.bellarmine.edu/sports/womens-basketball/roster/rachel-shropshire/9504,2025-26
52,Bellarmine,9777,Ava Smith,Sophomore,"Camas, WA",Union,Utah State,"5'8""",G,3,https://athletics.bellarmine.edu/sports/womens-basketball/roster/ava-smith/9777,2025-26
52,Bellarmine,9779,Triniti Ralston,Junior,"Louisville, KY",Sacred Heart Academy,University of Southern Indiana,"5'5""",G,4,https://athletics.bellarmine.edu/sports/womens-basketball/roster/triniti-ralston/9779,2025-26
52,Bellarmine,9500,Ashlee  Harris,Graduate Student,"Louisville, KY",Sacred Heart Academy,,"5'6""",G,5,https://athletics.bellarmine.edu/sports/womens-basketball/roster/ashlee-harris/9500,2025-26
52,Bellarmine,9820,Rose  Jamison,Redshirt Junior,"Fairfield, CA",Rodriguez,Napa Valley College,"6'0""",G/F,7,https://athletics.bellarmine.edu/sports/womens-basketball/roster/rose-jamison/9820,2025-26
52,Bellarmine,9503,Anna Rodgers,Sophomore,"Mt. Washington, KY",Bullitt East,,"5'11""",G/F,11,https://athletics.bellarmine.edu/sports/womens-basketball/roster/anna-rodgers/9503,2025-26
52,Bellarmine,9501,Kayce Hyman,Sophomore,"Irmo, SC",Hammond School,,"5'10""",F,12,https://athletics.bellarmine.edu/sports/womens-basketball/roster/kayce-hyman/9501,2025-26
52,Bellarmine,9781,Haya Abdel Aal,Freshman,"Alexandria, Egypt",Alexandria House of English,,"6'3""",C,13,https://athletics.bellarmine.edu/sports/womens-basketball/roster/haya-abdel-aal/9781,2025-26
